id_venta,fecha,año,mes,dia_semana,semana_numero,producto,categoria,cantidad,precio_unitario,descuento,monto_total,costo_unitario,margen_beneficio,estado,ciudad,region,metodo_pago,canal_venta,cliente_id,categoria_cliente,cliente_antiguedad_dias,vendedor_id,vendedor_experiencia_meses,promocion_aplicada,cupon_usado,puntuacion_cliente,tiempo_entrega_dias,fecha_registro_cliente,acumulado_mes_producto,ranking_ciudad_mes
4358,2024-05-10,2024,5,Friday,19,,Almacenamiento,20,190,1,3762.0,104.42,45.04,Pendiente,Valencia,Este,PayPal,Marketplace,CLI9771,,228,Ana,36,Verano,,2,1,2023-09-25,390755.0378,29
4359,2023-12-23,2023,12,Saturday,51,USB,Periféricos,6,183,34,724.68,123.76,32.37,,Sevilla,Sur,Efectivo,Tienda física,CLI7622,,116,Laura,24,BlackFriday,Sí,2,1,2023-08-29,245928.7307,32
2207,15/07/2023,2023,7,Saturday,28,Monitor,Periféricos,,$1340.99,57,0.0,681.46,,Cancelado,Madrid,Centro,Efectivo,Web,CLI8345,Inactivo,130,Carlos,12,Verano,False,3,10,2023-03-07,error_acumulado,
4361,2024-11-16,2024,11,Saturday,46,USB,Accesorios,60,111,36,4262.4,61.97,44.17,Pendiente,Sevilla,Sur,Tarjeta,Tienda física,CLI3714,Nuevo,76,Ana,36,CyberMonday,,3,5,2024-09-01,460616.2298000001,16
4362,04-16-2023,2023,4,Sunday,15,RAM,Electrónica,75,590,31,30532.499999999996,412.18,30.14,,,,PayPal,,CLI5009,Nuevo,55,Sofia,6,Sin promoción,False,1,11,2023-02-20,382749.5462,12
4363,2024-01-05,2024,1,Friday,1,Impresora,Electrónica,54,758,37,25787.16,393.65,48.07,Cancelado,Bilbao,Norte,,,CLI5907,Inactivo,178,,,Sin promoción,False,3,1,2023-07-11,312244.17382118845,15
4364,2023-01-09,2023,1,Monday,2,USB,Periféricos,3,943,55,1273.05,646.61,31.43,Pendiente,Valencia,Este,Efectivo,Tienda física,CLI2368,VIP,4,Laura,24,Verano,True,4,9,2023-01-05,668474.6765000001,22
4365,2023-12-07,2023,12,Thursday,49,Disco Duro,Periféricos,83,496,5,39109.6,244.22,50.76,Pendiente,Valencia,Este,Transferencia,App,CLI6723,,342,Sofia,6,Verano,True,1,12,fecha_invalida,374464.24240000005,4
4366,2023-07-11,2023,7,Tuesday,28,Teclado,Electrónica,96,1210,0,116160.0,827.53,31.61,,Sevilla,Sur,,App,CLI8778,Nuevo,262,Miguel,-48,CyberMonday,False,5,2,2022-10-22,600014.6967618578,1
4367,2024-06-13,2024,6,Thursday,24,Disco Duro,Accesorios,96,581,41,32907.840000000004,398.66,31.38,Pendiente,Barcelona,Noreste,Transferencia,Tienda física,CLI9826,,175,Miguel,48,BlackFriday,Sí,4,15,2023-12-21,657985.6365439421,5
4368,2023-01-10,2023,1,Tuesday,2,Impresora,Accesorios,-7,$1095.99,198,-7518.4914,710.23,,,Barcelona,Noreste,Tarjeta,,invalido,,358,Laura,24,,inválido,2,14,2022-01-17,error_acumulado,
4369,2024-01-25,2024,1,Thursday,4,Laptop,,51,1118,-6,60439.08,742.88,33.55,Cancelado,Sevilla,Sur,Tarjeta,App,CLI3339,VIP,53,Laura,24,Primavera,False,1,3,2023-12-03,223166.9948171937,4
4370,12/09/2023,2023,9,Tuesday,37,Monitor,,62,553,3,33257.42,433.1875234046671,-21.66590896841463,Pendiente,,,Efectivo,,CLI8341,,290,Carlos,12,,,1,-9,2022-11-26,245840.17349999998,4
4371,2024-04-07,2024,4,Sunday,14,USB,Periféricos,99,1233,17,101315.61,,,Cancelado,Sevilla,Sur,PayPal,,CLI9225,VIP,35,Carlos,12,Verano,Sí,-1,4,2024-03-03,390534.4523210544,2
4372,10-23-2024,2024,10,Wednesday,43,Webcam,,91,174,25,11875.5,115.73,33.49,Cancelado,Barcelona,Noreste,Efectivo,Tienda física,CLI1124,Nuevo,107,Laura,24,,True,2,9,2024-07-08,515237.3247773804,13
4373,2024-05-21,2024,5,Tuesday,21,USB,Almacenamiento,98,52,61,1987.44,30.21,41.9,Completado,,,Efectivo,App,CLI5347,Regular,188,Miguel,48,BlackFriday,True,1,13,2023-11-15,320757.01,23
4374,2023-07-31,2023,7,Monday,31,Mouse,,6 unidades,1213,30,,742.51,38.79,Envío,,,Efectivo,Web,CLI4504,Regular,265,Miguel,48,Primavera,,4,6,2022-11-08,error_acumulado,
4375,2023-08-20,2023,8,Sunday,33,,Almacenamiento,85,761,31,44632.649999999994,524.24,31.11,Envío,Sevilla,Sur,Transferencia,Web,CLI2708,Nuevo,110,Ana,36,BlackFriday,False,5,10,2023-05-02,488750.1542,8
4376,2023-06-23,2023,6,Friday,25,Teclado,Electrónica,95,$1037.99,26,72970.697,461.53,,Cancelado,Barcelona,Noreste,Transferencia,Web,CLI3043,VIP,310,Carlos,12,Primavera,,3,3,2022-08-17,605642.9482999999,3
4377,2023-12-21,2023,12,Thursday,51,RAM,Periféricos,81,1322,36,68532.48,749.21,43.33,Envío,,,,Web,CLI9813,Regular,36,Laura,24,CyberMonday,False,3,11,2023-11-15,233582.15250000003,1
4378,2024-09-02,2024,9,Monday,36,Disco Duro,Periféricos,1.0965723414935886,1193,16,1098.897074857555,711.39,40.37,Cancelado,Bilbao,Norte,Tarjeta,Tienda física,CLI8610,,112,,,CyberMonday,,5,13,2024-05-13,580787.954149715,27
4379,2023-10-25,2023,10,Wednesday,43,Impresora,Electrónica,93,977,63,33618.57,578.25,40.81,Completado,Madrid,Centro,,,CLI3872,Inactivo,363,Miguel,48,BlackFriday,No,2,7,2022-10-27,0,9
9894,04/03/2023,2023,3,Saturday,9,Mouse,Almacenamiento,-14,577,8,-7431.76,279.51,51.56,,Barcelona,Noreste,PayPal,,CLI5740,Inactivo,262,Carlos,12,Sin promoción,True,3,3,fecha_invalida,error_acumulado,
4381,2024-08-12,2024,8,Monday,33,Webcam,Electrónica,35,701,23,-18891.95,288.77,58.81,Cancelado,Bilbao,Norte,PayPal,Web,CLI3682,VIP,193,,,Sin promoción,,3,13,2024-02-01,error_acumulado,
4382,10-26-2023,2023,10,Thursday,43,Teclado,,46,"1380,99",27,46373.6442,679.3,,,Bilbao,Norte,,Web,CLI7827,VIP,218,Ana,36,Sin promoción,No,3,15,2023-03-22,329311.05279999995,5
4383,2023-04-22,2023,4,Saturday,16,,Electrónica,57,1245,4,68126.4,864.97,30.52,Cancelado,Sevilla,Sur,Transferencia,Tienda física,CLI1617,Nuevo,95,Miguel,48,BlackFriday,No,5,14,2023-01-17,421874.59850473504,2
4384,2024-08-07,2024,8,Wednesday,32,Monitor,Almacenamiento,1,$570.99,51,279.7851,361.07,,Cancelado,Sevilla,Sur,Efectivo,Marketplace,CLI1034,Nuevo,199,Laura,24,Primavera,,1,9,2024-01-21,701147.1014027632,31
4385,2023-07-13,2023,7,Thursday,28,RAM,,86,183,9,14321.58,102.57,43.95,Completado,Bilbao,Norte,Tarjeta,App,CLI7593,Nuevo,52,Ana,36,CyberMonday,,2,11,2023-05-22,428403.68240000005,13
4386,2024-05-18,2024,5,Saturday,20,Disco Duro,Electrónica,77,1313,-8,109189.08€,824.74,37.19,Envío,,,Transferencia,App,CLI1295,Regular,307,Laura,24,CyberMonday,False,1,6,2023-07-16,error_acumulado,
4387,2024-03-29,2024,3,Friday,13,RAM,Accesorios,41,1281,32,35714.28,864.6,32.51,Completado,Madrid,Centro,PayPal,App,CLI6183,Nuevo,196,,,Verano,,2,3,2023-09-15,317754.8882774515,3
4388,2023-05-07,2023,5,Sunday,18,RAM,Periféricos,77,136,29,7435.12,75.2,44.71,Cancelado,Bilbao,Norte,Transferencia,,CLI3723,Regular,77,Miguel,48,Primavera,No,5,15,2023-02-19,367849.12,11
4389,2023-10-21,2023,10,Saturday,42,,Electrónica,11,1252,69,4269.320000000001,504.93,-59.67012779552715,PENDIENTE,Madrid,Centro,Tarjeta,Marketplace,CLI9778,Inactivo,198,,,CyberMonday,inválido,1,-1,2023-04-06,1097665.7487604835,29
4390,21/04/2023,2023,4,Friday,16,USB,,1,785,49,400.35,349.68,55.45,Envío,Madrid,Centro,,Web,CLI1397,Nuevo,162,Laura,24,CyberMonday,No,1,6,2022-11-10,441006.3253999999,24
4391,2024-09-23,2024,9,Monday,39,USB,Periféricos,6,498,56,1314.7199999999998,219.08,56.01,Cancelado,Madrid,Centro,PayPal,Web,CLI9719,Nuevo,306,Ana,36,Sin promoción,,4,12,2023-11-22,404581.9053,21
4392,09-24-2024,2024,9,Tuesday,39,Laptop,Almacenamiento,-8,$1434.99,33,-7691.546399999999,973.26,,,Bilbao,Norte,PayPal,App,CLI5663,VIP,99,Miguel,48,Primavera,No,2,10,2024-06-17,error_acumulado,
4393,2024-02-07,2024,2,Wednesday,6,Monitor,Periféricos,48,1223,42,34048.32000000001,823.3650990804201,32.68,Pendiente,Sevilla,Sur,,Tienda física,CLI3480,Nuevo,91,Miguel,48,Verano,True,3,4,2023-11-08,505226.7861421013,10
4394,2024-04-06,2024,4,Saturday,14,Teclado,Almacenamiento,18,416,69,-2321.28,277.08,33.39,Pendiente,Bilbao,Norte,Efectivo,Marketplace,,VIP,301,,,Verano,False,1,7,2023-06-10,error_acumulado,
4395,2024-07-13,2024,7,Saturday,28,Monitor,Electrónica,7,1483,35,6747.650000000001,695.49,53.1,Completado,Sevilla,Sur,Transferencia,Marketplace,CLI7347,VIP,191,Carlos,12,CyberMonday,True,2,10,fecha_invalida,221316.2397,19
4396,2023-05-31,2023,5,Wednesday,22,Disco Duro,Electrónica,66,"437,99",153,-15320.890200000002,249.92,,Cancelado,Bilbao,Norte,Transferencia,App,CLI1478,Nuevo,304,Miguel,48,BlackFriday,True,3,1,2022-07-31,error_acumulado,
4397,2024-09-28,2024,9,Saturday,39,Laptop,Periféricos,15,240,64,1296.0,112.22,53.24,,Bilbao,Norte,,Tienda física,CLI6020,Regular,205,Carlos,12,BlackFriday,True,3,9,2024-03-07,401395.5868,27
4398,2023-07-09,2023,7,Sunday,27,Teclado,Almacenamiento,46,588,32,18392.64,286.02,51.36,,Barcelona,Noreste,Tarjeta,Web,CLI4765,Nuevo,18,Sofia,6,CyberMonday,,3,7,2023-06-21,618407.3367618578,15
4399,2023-02-19,2023,2,Sunday,7,Monitor,,45,32,66,489.59999999999997,19.67,38.53,Cancelado,Bilbao,Norte,PayPal,,CLI1615,Nuevo,362,Sofia,6,CyberMonday,No,2,2,2022-02-22,430072.9000252588,28
2944,13/05/2023,2023,5,Saturday,19,USB,Almacenamiento,2.51620560920581,$14.99,24,28.66562078231627,8.22,,Pendiente,B@rcelon@,Noreste,Transferencia,App,CLI1004,Inactivo,42,Miguel,48,Sin promoción,Sí,4,12,2023-04-01,719389.5208612899,2
4401,2024-02-08,2024,2,Thursday,6,RAM,Almacenamiento,7,312,42,,173.39,44.43,Completado,Madrid,Centro,PayPal,Tienda física,CLI8487,Regular,242,Laura,24,Sin promoción,Sí,1,9,2023-06-11,error_acumulado,
4402,12-25-2024,2024,12,Wednesday,52,USB,,19,906,19,13943.34,,,Pendiente,Madrid,Centro,Tarjeta,App,CLI4662,VIP,363,Sofia,6,Primavera,Sí,6,14,2023-12-28,176307.59,8
4403,2024-07-13,2024,7,Saturday,28,USB,Almacenamiento,74,134,-1,10015.16,63.92,52.3,,Bilbao,Norte,PayPal,Tienda física,CLI1464,,219,Carlos,-12,Verano,Sí,1,1,2023-12-07,239827.49,9
4404,2023-04-15,2023,4,Saturday,15,,Electrónica,-3,266,17,-662.3399999999999,182.19,31.51,Cancelado,Bilbao,Norte,,App,CLI3998,Nuevo,43,Ana,36,Verano,Sí,2,2,2023-03-03,error_acumulado,
4405,2023-08-09,2023,8,Wednesday,32,Laptop,Almacenamiento,11,428,35,3060.2000000000003,249.63,41.68,Pendiente,,,PayPal,App,CLI8027,Regular,78,Sofia,6,CyberMonday,Sí,5,4,2023-05-23,499168.4872999999,20
4406,2024-10-08,2024,10,Tuesday,41,Disco Duro,Almacenamiento,78,513,11,35612.46,326.23,36.41,Completado,Valencia,Este,Transferencia,,CLI2285,Regular,230,,,,Sí,5,8,2024-02-21,311525.35000000003,7
4407,2023-05-12,2023,5,Friday,19,Monitor,Almacenamiento,74,934,23,-53219.32,556.6,40.41,Cancelado,,,Tarjeta,Marketplace,CLI6975,VIP,365,Ana,36,Sin promoción,No,2,4,2022-05-12,error_acumulado,
4408,2024-06-06,2024,6,Thursday,23,Webcam,Accesorios,57,$1198.99,69,21186.153300000005,600.06,,,Barcelona,Noreste,PayPal,Marketplace,CLI4408,Regular,211,,,Verano,No,5,-2,2023-11-08,0,13
4409,2023-12-17,2023,12,Sunday,50,Laptop,,91,589,62,20367.62,264.11,55.16,Completado,,,PayPal,Web,CLI3777,Regular,344,Carlos,12,CyberMonday,No,1,1,2023-01-07,340445.2098,8
4410,06/09/2023,2023,9,Wednesday,36,USB,Accesorios,9 unidades,"809,99",49,0.0,323.89,,Pendiente,,,,Tienda física,CLI5352,Regular,147,Carlos,12,Verano,inválido,2,4,fecha_invalida,error_acumulado,
4411,2023-03-05,2023,3,Sunday,9,Laptop,Electrónica,79,1249,31,68082.98999999999,856.87,31.4,Completado,Barcelona,Noreste,Transferencia,Web,CLI3800,Inactivo,218,Laura,24,,,5,14,2022-07-30,921081.9732,2
4412,11-17-2024,2024,11,Sunday,46,Webcam,Accesorios,85,496,13,36679.2,330.1,33.45,,Madrid,Centro,Efectivo,Tienda física,CLI5132,Inactivo,86,,,,False,2,1,2024-08-23,541639.8616,5
4413,2023-03-16,2023,3,Thursday,11,Monitor,,87,1100,36,61248.0,487.62,55.67,Completado,Bilbao,Norte,,,CLI9645,Inactivo,146,Miguel,48,Verano,,2,10,2022-10-21,332283.64,4
4414,2023-05-06,2023,5,Saturday,18,Impresora,Almacenamiento,20,391,31,5395.799999999999,263.14,32.7,Pendiente,Bilbao,Norte,Transferencia,Web,CLI6492,Inactivo,247,Ana,36,Sin promoción,Sí,5,12,2022-09-01,328429.49999999994,13
4415,2023-03-26,2023,3,Sunday,12,RAM,Periféricos,59,1400,38,51212.0,838.52,40.11,Completado,,,PayPal,,CLI2856,Nuevo,219,Sofia,6,BlackFriday,True,1,11,2022-08-19,583079.5921,6
4416,2023-03-04,2023,3,Saturday,9,Impresora,Periféricos,-7,$130.99,36,-586.8352000000001,105.56589281027291,,Completado,Barcelona,Noreste,Transferencia,App,CLI6576,Regular,239,,,Primavera,,4,6,2022-07-08,error_acumulado,
4417,2024-09-16,2024,9,Monday,38,USB,Electrónica,7,558,25,2929.5,337.63,39.49,,Sevilla,Sur,PayPal,,CLI8737,Nuevo,340,Ana,36,CyberMonday,True,2,9,2023-10-12,407511.4053,23
4418,2024-03-06,2024,3,Wednesday,10,,Electrónica,77,702,67,17837.819999999996,411.99,41.31,Envío,Barcelona,Noreste,PayPal,Marketplace,CLI5942,Regular,65,Ana,36,CyberMonday,False,1,4,2024-01-01,225067.0712547348,14
4419,2024-01-22,2024,1,Monday,4,,Periféricos,98,1051,9,93728.18000000001,527.63,49.8,Completado,Bilbao,Norte,Efectivo,Tienda física,CLI8710,,52,Laura,24,BlackFriday,No,5,2,2023-12-01,575586.440694902,2
11074,29/08/2024,2024,8,Thursday,35,Teclado,Periféricos,8,1020,-5,-8568.0,592.29,41.93,,Barcelona,Noreste,Efectivo,App,,VIP,150,,,Sin promoción,No,4,5,2024-04-01,error_acumulado,
4421,2023-04-07,2023,4,Friday,14,Webcam,Almacenamiento,55,634,18,28593.4,280.87,55.7,Cancelado,Valencia,Este,Efectivo,Web,CLI8053,Inactivo,324,Carlos,12,,Sí,2,11,2022-05-18,645573.9742857309,6
4422,11-01-2023,2023,11,Wednesday,44,Webcam,,4.328676860224616,117,22,395.03505026409846,67.55,42.26,CANCELADO,Valencia,Este,Tarjeta,Tienda física,CLI7212,Nuevo,100,Miguel,48,Primavera,No,3,4,2023-07-24,1122799.4265005284,26
4423,2023-10-10,2023,10,Tuesday,41,Teclado,Periféricos,48,421,61,7881.12,266.96,36.59,Pendiente,Valencia,Este,,Marketplace,CLI2192,VIP,48,Carlos,12,Primavera,,1,12,2023-08-23,337192.17279999994,13
4424,2024-03-18,2024,3,Monday,12,Impresora,Electrónica,68,$1023.99,184,-58490.30880000001,504.6,,Cancelado,Barcelona,Noreste,PayPal,Web,CLI6796,Regular,206,Miguel,48,Primavera,Sí,5,5,2023-08-25,error_acumulado,
4425,2024-09-05,2024,9,Thursday,36,Impresora,Almacenamiento,91,225,56,9008.999999999998,138.23,38.56,Pendiente,Madrid,Centro,Efectivo,Marketplace,CLI7804,Inactivo,329,Laura,24,Primavera,True,3,9,fecha_invalida,257641.11,15
4426,2023-11-22,2023,11,Wednesday,47,Teclado,,99,356,5,33481.799999999996,217.69,38.85,Cancelado,Sevilla,Sur,Transferencia,Web,CLI2141,Nuevo,214,,,Sin promoción,True,3,1,2023-04-22,395363.0328,9
4427,2023-02-21,2023,2,Tuesday,8,Teclado,Almacenamiento,71,1437,58,42851.340000000004,876.59,-38.99860821155185,Completado,,,Transferencia,Web,CLI6606,Regular,61,Laura,24,BlackFriday,,2,-5,2022-12-22,173532.4155296018,6
4428,2023-04-18,2023,4,Tuesday,16,Teclado,,-2,644,70,,414.04,35.71,Cancelado,,,,Web,CLI3307,Regular,165,Miguel,48,Primavera,True,4,8,2022-11-04,error_acumulado,
4429,2024-04-07,2024,4,Sunday,14,,Periféricos,59,41,20,1935.2,26.07,36.41,Envío,,,Transferencia,,CLI8067,Regular,313,Sofia,6,Verano,False,5,4,2023-05-30,436094.22579999996,20
4430,20/07/2024,2024,7,Saturday,29,Teclado,Periféricos,100,1002,68,32063.999999999996,402.14,59.87,Cancelado,Valencia,Este,Transferencia,Tienda física,CLI1639,Regular,136,,,,No,3,4,2024-03-06,366617.93900866876,10
4431,2024-06-13,2024,6,Thursday,24,Impresora,Accesorios,61,1131,19,55882.71000000001,710.15,37.21,,Madrid,Centro,Transferencia,Tienda física,CLI2434,,253,,,CyberMonday,inválido,5,14,2023-10-04,632912.0375999999,1
4432,09-18-2023,2023,9,Monday,38,Mouse,,57,$749.99,21,33772.0497,309.21,,Envío,Bilbao,Norte,Tarjeta,Tienda física,CLI3693,Nuevo,111,Ana,36,BlackFriday,False,1,15,2023-05-30,223519.8489,12
4433,2024-10-07,2024,10,Monday,41,USB,Almacenamiento,93,929,36,-55294.08,,,Pendiente,Valencia,Este,Efectivo,,CLI3787,Inactivo,103,,,Verano,,6,1,2024-06-26,error_acumuladoerror_acumulado,
4434,2023-09-01,2023,9,Friday,35,USB,Almacenamiento,42,552,32,15765.119999999999,333.34,39.61,Completado,Valencia,Este,Transferencia,,CLI7601,Nuevo,229,Carlos,12,Sin promoción,,3,11,2023-01-15,496887.1175953121,8
4435,2024-04-23,2024,4,Tuesday,17,Monitor,Accesorios,23,1101,63,9369.51,499.54,54.63,Completado,,,Transferencia,Web,CLI6620,VIP,143,Laura,24,Primavera,True,1,10,2023-12-02,445563.52520000003,16
4436,2023-01-18,2023,1,Wednesday,3,Monitor,Electrónica,66,1333,39,53666.58,572.36,57.06,Completado,,,Tarjeta,Marketplace,CLI4794,,149,,,BlackFriday,No,3,2,2022-08-22,413062.5716,4
4437,2024-02-02,2024,2,Friday,5,Mouse,,59,1038,-1,61854.42,598.47,42.34,Completado,Valencia,Este,Transferencia,,CLI6063,,38,Laura,24,BlackFriday,No,4,4,2023-12-26,0,4
4438,2024-05-12,2024,5,Sunday,19,Laptop,Electrónica,10,"716,99",40,4301.94,290.79,,Envío,,,Transferencia,,CLI9012,Nuevo,74,Carlos,12,Verano,Sí,1,2,2024-02-28,396963.57,22
4439,2023-05-15,2023,5,Monday,20,,Accesorios,54,1240,2,65620.8,812.2538980731647,34.5,Completado,Madrid,Centro,Tarjeta,App,CLI7000,VIP,155,Laura,24,Verano,Sí,4,1,2022-12-11,560300.1815394607,3
7859,24/04/2024,2024,4,Wednesday,17,Monitor,Accesorios,-1,$650.99,59,-266.90590000000003,280.91,,Cancelado,Valencia,Este,Transferencia,Web,CLI3443,Regular,168,Ana,-36,BlackFriday,False,2,12,fecha_invalida,error_acumulado,
4441,2023-04-17,2023,4,Monday,16,USB,Electrónica,73,1178,41,50736.46000000001,508.26,56.85,Envío,Madrid,Centro,PayPal,Tienda física,CLI9496,VIP,97,Ana,36,BlackFriday,Sí,3,13,2023-01-10,491742.78539999994,3
4442,11-02-2023,2023,11,Thursday,44,Impresora,Almacenamiento,71,818,67,19165.739999999998,435.43,46.77,Cancelado,Barcelona,Noreste,Transferencia,Tienda física,CLI5983,Nuevo,51,,,CyberMonday,False,4,14,2023-09-12,437422.97910549206,16
4443,2024-06-25,2024,6,Tuesday,26,Mouse,Periféricos,39,1219,31,32803.29,707.7,41.94,Cancelado,Madrid,Centro,Efectivo,Tienda física,CLI1841,VIP,340,,,,False,4,3,2023-07-21,218191.21999999997,3
4444,2024-10-19,2024,10,Saturday,42,Laptop,Electrónica,2.4955993899110185,769,52,921.175646803955,372.35,51.58,Envío,,,Tarjeta,Marketplace,CLI1059,Nuevo,103,Ana,36,BlackFriday,Sí,1,5,2024-07-08,206511.2302936079,19
4445,2024-02-28,2024,2,Wednesday,9,USB,Almacenamiento,44,1466,41,38057.36000000001,597.62,59.23,Envío,Sevilla,Sur,,Web,CLI8111,Inactivo,45,,,CyberMonday,False,1,12,2024-01-14,344177.9407308596,6
4446,2023-09-26,2023,9,Tuesday,39,Impresora,Electrónica,1 unidades,701,49,-0.0,374.58,-46.56490727532097,Envío,Bilbao,Norte,PayPal,Web,,Regular,193,Laura,24,,Sí,4,-10,2023-03-17,error_acumulado,
4447,2023-11-17,2023,11,Friday,46,RAM,,37,862,19,25834.140000000003,370.61,57.01,,Valencia,Este,Efectivo,Tienda física,CLI1917,Inactivo,295,,,Primavera,True,1,13,2023-01-26,300330.2612177657,11
4448,2023-02-26,2023,2,Sunday,8,Laptop,Almacenamiento,38,$561.99,58,8969.3604,233.67,,Completado,Barcelona,Noreste,Tarjeta,App,CLI4697,Inactivo,303,Sofia,6,CyberMonday,No,4,14,2022-04-29,360659.3112,12
4449,2023-08-11,2023,8,Friday,32,Impresora,,35,826,60,11564.0,472.08,42.85,Envío,Valencia,Este,Efectivo,App,CLI3177,VIP,265,Ana,36,Primavera,No,3,4,2022-11-19,337372.58839999995,19
4450,20/01/2023,2023,1,Friday,3,RAM,,2,810,70,486.00000000000006,472.22,41.7,Cancelado,,,,,CLI8451,Regular,333,,,Primavera,,5,1,2022-02-21,88990.82658860539,25
4451,2023-05-24,2023,5,Wednesday,21,RAM,,76,1096,64,29986.559999999998,552.14,49.62,Envío,Bilbao,Norte,,App,CLI1696,Regular,124,Sofia,6,Primavera,True,2,15,2023-01-20,397835.68,4
4452,07-23-2024,2024,7,Tuesday,30,RAM,Electrónica,-13,"353,99",196,4417.7952,211.13,,Envío,,,,Marketplace,CLI6194,,346,Carlos,12,BlackFriday,inválido,3,2,2023-08-12,256011.2466,12
4453,2023-01-15,2023,1,Sunday,2,Laptop,Periféricos,74,1061,59,32190.74,686.75,35.27,Envío,Barcelona,Noreste,Tarjeta,Web,CLI9150,VIP,170,Miguel,48,Sin promoción,No,3,5,2022-07-29,420932.52719999995,10
4454,2023-06-27,2023,6,Tuesday,26,Disco Duro,,62,1056,-1,66126.72€,500.21,52.63,Envío,Valencia,Este,Tarjeta,Marketplace,CLI2144,,237,,,Primavera,No,2,14,2022-11-02,error_acumulado,
4455,2023-06-07,2023,6,Wednesday,23,RAM,,44,893,46,,373.87,58.13,ENVÍO,Bilb@o,Norte,Tarjeta,Tienda física,CLI6528,Nuevo,64,Sofia,6,Verano,True,3,13,fecha_invalida,error_acumuladoerror_acumulado,
4456,2024-11-21,2024,11,Thursday,47,Disco Duro,Almacenamiento,23,$935.99,2,21097.2146,621.5,,Pendiente,Madrid,Centro,PayPal,Marketplace,CLI4972,,348,Laura,24,Sin promoción,False,1,9,2023-12-09,354764.3742,11
4457,2023-07-29,2023,7,Saturday,30,Webcam,,48,417,17,16613.28,223.94,46.3,Pendiente,Valencia,Este,,Web,CLI7419,Regular,26,Sofia,6,Verano,True,2,5,2023-07-03,344535.10960967105,17
4458,2024-06-29,2024,6,Saturday,26,Disco Duro,Electrónica,17,469,37,5022.99,297.25,36.62,,Bilbao,Norte,,Web,CLI1108,,337,Sofia,6,Verano,,4,13,2023-07-28,334015.80827197107,16
4459,2023-02-26,2023,2,Sunday,8,Impresora,,97,1040,61,-39343.200000000004,496.48,52.26,Pendiente,Valencia,Este,,Tienda física,CLI8320,VIP,14,Carlos,12,CyberMonday,Sí,5,14,2023-02-12,error_acumulado,
15072,25/12/2024,2024,12,Wednesday,52,Monitor,Periféricos,12,1164,11,12431.52,466.37,59.93,Cancelado,,,Efectivo,App,CLI3690,Nuevo,146,Miguel,48,BlackFriday,,3,6,2024-08-01,237785.40162907867,19
4461,2024-12-27,2024,12,Friday,52,,Accesorios,83,179,48,7725.64,75.95,57.57,Envío,Sevilla,Sur,,Web,CLI6193,VIP,161,Sofia,6,BlackFriday,True,3,10,2024-07-19,463287.0495000001,15
4462,05-09-2023,2023,5,Tuesday,19,Disco Duro,Electrónica,24,779,8,17200.32,489.75907477809403,37.13,Cancelado,Valencia,Este,,Web,CLI2913,Regular,255,Laura,24,CyberMonday,False,1,8,2022-08-27,275473.72,8
4463,2024-06-11,2024,6,Tuesday,24,Webcam,Electrónica,39,1393,65,19014.449999999997,827.92,40.57,Cancelado,Valencia,Este,,Marketplace,CLI2907,Nuevo,157,Miguel,48,,Sí,5,1,2024-01-06,163177.06330000004,14
4464,2023-08-25,2023,8,Friday,34,Mouse,Almacenamiento,-3,$869.99,16,-2192.3748,,,Cancelado,Madrid,Centro,Transferencia,App,CLI4201,VIP,19,,,Sin promoción,False,6,10,2023-08-06,error_acumulado,
4465,2023-06-05,2023,6,Monday,23,,Accesorios,39,671,36,16748.16,446.5,-33.4575260804769,Envío,Valencia,Este,,Web,CLI4793,Regular,317,,,Primavera,True,1,-4,2022-07-23,557219.5985,13
4466,2024-08-12,2024,8,Monday,33,Monitor,,2.759636686702502,"656,99",63,670.8298715147704,291.57,,Completado,Madrid,Centro,Efectivo,App,CLI5939,VIP,43,,,Verano,,1,4,2024-06-30,1403635.862548556,29
4467,2024-11-03,2024,11,Sunday,44,Laptop,Electrónica,75,419,7,29225.249999999996,284.31,32.15,Pendiente,Madrid,Centro,,Web,CLI7536,Regular,92,Miguel,48,,,2,5,2024-08-03,407869.3992323392,9
4468,2024-05-04,2024,5,Saturday,18,Teclado,Accesorios,7,62,26,321.15999999999997,35.71,42.4,Completado,,,,App,CLI2112,VIP,317,Ana,36,Verano,False,4,4,2023-06-22,598661.770938841,28
4469,2024-12-17,2024,12,Tuesday,51,RAM,Electrónica,67,644,18,35381.36,434.43,32.54,Pendiente,,,,App,CLI3434,Regular,66,Sofia,6,Primavera,Sí,2,9,2024-10-12,236854.82419999997,10
4470,13/12/2023,2023,12,Wednesday,50,Disco Duro,Almacenamiento,37,181,15,5692.45,101.83,43.74,,Valencia,Este,,Tienda física,CLI3121,Regular,162,Miguel,48,Primavera,False,1,3,fecha_invalida,380156.69240000006,27
4471,2024-06-07,2024,6,Friday,23,Laptop,,27,679,-3,18882.99,328.46,51.63,,Barcelona,Noreste,,,CLI5855,Inactivo,359,,,Sin promoción,,2,4,2023-06-14,193364.48750000002,15
4472,12-09-2023,2023,12,Saturday,49,Impresora,Almacenamiento,89,$639.99,30,-39871.377,337.71,,Pendiente,Madrid,Centro,,Marketplace,,VIP,279,Sofia,6,CyberMonday,,2,2,2023-03-05,error_acumulado,
